rubric_id,dimension,0分标准,1分标准,3分标准,5分标准,直接淘汰条件,需要人工复核条件,证据要求,备注
BR-001,引流钩子,没有观看理由；开头一句也听不出为什么要看,有刺激词，但对象/问题/结果不清，后面也不一定兑现,3-8 秒内有痛点或结果感，后面有一个兑现方向,开头 3-8 秒抓住人，8-15 秒内完成痛点+结果感+观看理由，并被后文兑现,只有标题党、强结果、无兑现,强功效、敏感表达、画面和口播不一致,开头时间码 + 后文兑现时间码,钩子不是一句狠话，是承诺后面要交代什么
BR-002,讲解完整性,只剩口令、动作次数或结论,有方法词，但缺为什么或缺关键步骤,能说清问题和方法，短教学 8-20 秒成立,20-60 秒内有问题、原因、方法、步骤或注意点，观众能照着理解,动作类缺站位/方向/条件；结果承诺替代方法,动作画面、字幕重点、口令准确度,完整教学结构块时间码,少于 8 秒默认不是完整教学，除非前后已经补足
BR-003,信任支撑,没有证据，只有“很多人有效”,有反馈词，但没有对象、过程或来源,有案例对象和变化，但过程略短,有背景、过程、反馈、意义归纳，可承接促单,案例真实性不明且效果说太满,案例授权、真实性、适用人群,案例背景 + 反馈时间码,信任证据可来自案例、群反馈、机制解释
BR-004,异议回应,没有疑问，只有强行说服,提出疑问但没有理由,疑问和一个解释成立，8-20 秒可用,疑问、解释、依据、边界完整，20-45 秒更稳,把“有用”当解释；用承诺压过证据,医疗/功效/敏感承诺,疑问句 + 回答依据时间码,促单前特别需要这一项
BR-005,成交承接,一上来就卖，前面没有价值,有行动提醒，但前面铺垫不足,前文有讲解或案例，结尾 3-8 秒提醒行动,8-15 秒说明入口、适合人群或下一步，不新增未确认承诺,价格/权益/退款/效果未经确认却写死,业务事实、权益、课程边界,转化前价值块 + 行动提醒时间码,转化可以短，但不能突兀
BR-006,单结构完整性,只剩一句话或一个刺激点,有一个结构影子，但缺开始/过程/收束,一个结构能自己闭合，但证据还要人工看,单结构内部有目标、展开、收束，观众不需要脑补,缺主语、缺原因、缺条件、缺结论,画面是否补足文本缺口,完整 structure_block 时间码,单结构可以成片，但不能是半句话
BR-007,多结构连贯性,结构之间像拼贴，前后互不解释,能看出两个结构，但承接关系弱,前一块能推出后一块，必要桥接可补,问题、方法、信任、异议、行动一环接一环,traffic_hook 直接跳 conversion_push 且无价值铺垫,桥接字幕是否真实、是否过度补写,相邻两个结构块时间码,不要求五类都齐，要求顺
BR-008,结构块边界,按单个 speech_segment 硬剪，剪完断句,边界大概对，但缺前置条件或收束,能保留最小完整表达单元,从结构功能开始剪，到功能完成处停，切点不破坏意思,剪后缺主语、原因、动作条件、结论,精确画面切点和呼吸停顿,block_start_time / block_end_time,先找结构块，再找精确切点
BR-009,最小完整表达单元,观众看不懂这段在说什么,知道主题，但不知道为什么或怎么做,保留了主张和一个支撑,保留问题、解释、方法/证据、收束，意思完整,只剩一个金句、单点、动作口令,字幕是否能补足但不虚构,完整句群时间码,这是所有剪辑边界的底线
BR-010,结构断裂,突然换主题，没有任何承接,有一点相关，但观众要脑补,可用桥接字幕解释关系,不用桥接也能听出前后因果、递进或转折,硬切导致情绪、逻辑、对象断裂,是否需要桥接字幕和过渡画面,断裂前后时间码,断裂不是不能剪，是要补真实桥
BR-011,桥接字幕,字幕编造视频里没有的事实,字幕只是装饰，没有解释承接,字幕能说明“接下来为什么讲这个”,字幕只补关系，不补事实；一句话把问题/方法/案例/行动连上,用字幕虚构课程权益、案例结果、功效承诺,字幕文案需人工确认,相邻块证据 + 桥接意图,桥接字幕是胶水，不是新内容
BR-012,风险和业务事实,把自动转写当业务事实,识别到风险但没标状态,标出风险，写待客户确认,风险优先于转化价值，价格/权益/退款/效果都进入人工确认,高风险未复核就进候选池,客户业务事实、合规、授权,风险片段时间码,风险不过，不进最终候选
BR-013,文本结构与画面分离,写成审美/画面通过,知道要看画面，但没有列复核点,标出动作、字幕、节奏待复核,明确文本结构初判和画面剪辑验收分开,把文本顺写成成片顺,画面、字幕、节奏、语气、人感,文本证据 + 待复核说明,本轮不替用户做人感判断
BR-014,完整成片性,只有碎片刺激，无开头中段收束,有开头和主体，但结尾突然,开头有理由，中段有兑现，结尾能收住,整条视频形成观看闭环，观众知道为什么看、学到什么、下一步做什么,开头未兑现；结尾硬卖；中段跑题,整条视频画面和字幕复核,开头/主体/结尾时间码,盲测必须看整条，不只看几秒
BR-015,unmapped_clip 使用,强行塞进五结构,能看出不像五结构，但没说明原因,说明缺上下文/缺结构/风险过高,明确 unmapped_reason，默认不进候选池，除非人工补上下文,纯音乐/歌词/异常片段硬入候选,是否有原视频画面可补证据,片段时间码 + unmapped_reason,unmapped 是安全刹车，不是失败垃圾桶
