rule_id,trigger_type,trigger_detail,required_middle_delivery,allowed_ending_styles,forbidden_ending_styles,start_boundary_advice,end_boundary_advice,must_have_evidence,discard_if,common_abrupt_risk,example_video_ids
fgr_001,身体状态点名,盆底松弛无力,分步口令/计数教学；分步口令/计数教学；图解/解剖辅助说明,轻行动/跟练指令收束；结果/价值重申收束；动作完成/视觉定型收束,强卖式结尾；新痛点结尾；未兑现结果承诺；半个动作截断,从结果承诺和动作起势同时出现处开始，若前面有适用人群要一并保留。,留到结果回扣前文价值，不要额外拼接新结果。,连续动作帧证据,动作被遮挡、缺发力点/方向/次数，或只剩结果口号时放弃。,如果只有结果字幕，没有动作过程或证据，开头会像硬广告。 风险词需要克制处理：单一方法过度承诺；效果承诺风险。,fv_0002；fv_0005；fv_0006；fv_0010；fv_0012；fv_0028；fv_0029；fv_0030；fv_0037；fv_0038
fgr_002,身体状态点名,漏尿漏水尴尬,分步口令/计数教学；图解/解剖辅助说明；分步口令/计数教学,轻行动/跟练指令收束；风险提醒收束；动作完成/视觉定型收束,强卖式结尾；新痛点结尾；未兑现结果承诺；半个动作截断,从结果承诺和动作起势同时出现处开始，若前面有适用人群要一并保留。,留到跟练/收藏/咨询等轻行动完整出现；若出现强转化，交人工决定是否删减。,字幕口令/次数证据；图示/标注证据；效果对比或结果提示证据,痛点没有被原因、动作或证据兑现时放弃，不能靠字幕硬接。,如果只有结果字幕，没有动作过程或证据，开头会像硬广告。 风险词需要克制处理：单一方法过度承诺；效果承诺风险。,fv_0001；fv_0011；fv_0014；fv_0026；fv_0039；fv_0042；fv_0045；fv_0078；fv_0080；fv_0085
fgr_003,身份点名,漏尿漏水尴尬,错误-正确对比拆解；分步口令/计数教学；图解/解剖辅助说明；错误-正确对比拆解；原因解释/归因讲解,轻行动/跟练指令收束；风险提醒收束；动作完成/视觉定型收束,强卖式结尾；新痛点结尾；未兑现结果承诺；半个动作截断,从错误动作或误区字幕完整出现处开始，保留观众能识别错误的画面。,必须留到风险提醒/注意事项完整说完，必要时向后多留3-10秒。,对比画面/反例证据；口播或字幕解释证据,痛点没有被原因、动作或证据兑现时放弃，不能靠字幕硬接。,如果只有结果字幕，没有动作过程或证据，开头会像硬广告。 风险词需要克制处理：医学/健康边界风险；效果承诺风险。,fv_0009；fv_0013；fv_0015；fv_0034；fv_0051；fv_0052；fv_0054；fv_0055；fv_0096；fv_0098
fgr_004,身份点名,假胯宽/骨盆外翻/体态问题,分步口令/计数教学；单动作循环演示,轻行动/跟练指令收束；动作完成/视觉定型收束,强卖式结尾；新痛点结尾；未兑现结果承诺；半个动作截断,从结果承诺和动作起势同时出现处开始，若前面有适用人群要一并保留。,留到跟练/收藏/咨询等轻行动完整出现；若出现强转化，交人工决定是否删减。,连续动作帧证据,动作被遮挡、缺发力点/方向/次数，或只剩结果口号时放弃。,如果只有结果字幕，没有动作过程或证据，开头会像硬广告。,fv_0004；fv_0007；fv_0049；fv_0059；fv_0060；fv_0072
fgr_005,身份点名,盆底松弛无力,分步口令/计数教学；单动作循环演示；分步口令/计数教学；图解/解剖辅助说明,轻行动/跟练指令收束；结果/价值重申收束；风险提醒收束,强卖式结尾；新痛点结尾；未兑现结果承诺；半个动作截断,从结果承诺和动作起势同时出现处开始，若前面有适用人群要一并保留。,留到跟练/收藏/咨询等轻行动完整出现；若出现强转化，交人工决定是否删减。,字幕口令/次数证据；图示/标注证据,动作被遮挡、缺发力点/方向/次数，或只剩结果口号时放弃。,如果只有结果字幕，没有动作过程或证据，开头会像硬广告。 风险词需要克制处理：单一方法过度承诺。,fv_0031；fv_0036；fv_0058；fv_0071；fv_0095；fv_0097
fgr_006,动作状态点名,练错动作/误区,错误-正确对比拆解；分步口令/计数教学；图解/解剖辅助说明；错误-正确对比拆解；分步口令/计数教学；单动作循环演示,结果/价值重申收束；动作完成/视觉定型收束；风险提醒收束,强卖式结尾；新痛点结尾；未兑现结果承诺；半个动作截断,从错误动作或误区字幕完整出现处开始，保留观众能识别错误的画面。,留到动作定型或最后一次完整循环结束，避免切在半个动作。,对比画面/反例证据；字幕口令/次数证据；图示/标注证据,看不出错误和正确差异，或错误后没有解释/正确动作时放弃。,如果只保留错误/恐吓画面，后面不接同一问题的原因和正确做法，会突兀。,fv_0003；fv_0008；fv_0035；fv_0044；fv_0063
fgr_007,身体状态点名,小腹凸/腹压/悬垂腹,分步口令/计数教学；分步口令/计数教学；图解/解剖辅助说明,轻行动/跟练指令收束；动作完成/视觉定型收束；结果/价值重申收束,强卖式结尾；新痛点结尾；未兑现结果承诺；半个动作截断,向前保留痛点出现前的主语和第一帧痛点画面，不能只截结果词。,留到动作定型或最后一次完整循环结束，避免切在半个动作。,字幕口令/次数证据,痛点没有被原因、动作或证据兑现时放弃，不能靠字幕硬接。,如果痛点太大但中段只给无关动作，开头会显得焦虑化且不兑现。,fv_0050；fv_0069；fv_0076；fv_0079；fv_0099
fgr_008,年龄点名,妈妈臀/臀凹陷/臀扁平,单动作循环演示；错误-正确对比拆解；单动作循环演示,轻行动/跟练指令收束,强卖式结尾；新痛点结尾；未兑现结果承诺；半个动作截断,从结果承诺和动作起势同时出现处开始，若前面有适用人群要一并保留。,留到跟练/收藏/咨询等轻行动完整出现；若出现强转化，交人工决定是否删减。,连续动作帧证据；效果对比或结果提示证据,痛点没有被原因、动作或证据兑现时放弃，不能靠字幕硬接。,如果只有结果字幕，没有动作过程或证据，开头会像硬广告。 风险词需要克制处理：单一方法过度承诺；效果承诺风险。,fv_0033；fv_0075；fv_0077；fv_0083
fgr_009,年龄点名,盆底松弛无力,错误-正确对比拆解；分步口令/计数教学；图解/解剖辅助说明；原因解释/归因讲解；图解/解剖辅助说明；原因解释/归因讲解,轻行动/跟练指令收束；结果/价值重申收束,强卖式结尾；新痛点结尾；未兑现结果承诺；半个动作截断,从结果承诺和动作起势同时出现处开始，若前面有适用人群要一并保留。,留到跟练/收藏/咨询等轻行动完整出现；若出现强转化，交人工决定是否删减。,对比画面/反例证据；字幕口令/次数证据；图示/标注证据；口播或字幕解释证据；效果对比或结果提示证据,痛点没有被原因、动作或证据兑现时放弃，不能靠字幕硬接。,如果只有结果字幕，没有动作过程或证据，开头会像硬广告。 风险词需要克制处理：效果承诺风险。,fv_0019；fv_0021；fv_0023；fv_0025
fgr_010,年龄点名,盆底紧致/八爪鱼/抓握力,错误-正确对比拆解；分步口令/计数教学；单动作循环演示；图解/解剖辅助说明；原因解释/归因讲解,轻行动/跟练指令收束,强卖式结尾；新痛点结尾；未兑现结果承诺；半个动作截断,从结果承诺和动作起势同时出现处开始，若前面有适用人群要一并保留。,留到跟练/收藏/咨询等轻行动完整出现；若出现强转化，交人工决定是否删减。,对比画面/反例证据；字幕口令/次数证据；连续动作帧证据,动作被遮挡、缺发力点/方向/次数，或只剩结果口号时放弃。,如果只有结果字幕，没有动作过程或证据，开头会像硬广告。,fv_0017；fv_0022；fv_0024；fv_0066
fgr_011,身份点名,妈妈臀/臀凹陷/臀扁平,错误-正确对比拆解；单动作循环演示；错误-正确对比拆解；图解/解剖辅助说明,轻行动/跟练指令收束,强卖式结尾；新痛点结尾；未兑现结果承诺；半个动作截断,从结果承诺和动作起势同时出现处开始，若前面有适用人群要一并保留。,留到跟练/收藏/咨询等轻行动完整出现；若出现强转化，交人工决定是否删减。,对比画面/反例证据；连续动作帧证据；效果对比或结果提示证据,痛点没有被原因、动作或证据兑现时放弃，不能靠字幕硬接。,如果只有结果字幕，没有动作过程或证据，开头会像硬广告。 风险词需要克制处理：单一方法过度承诺；效果承诺风险。,fv_0016；fv_0032；fv_0053；fv_0081
fgr_012,身体状态点名,妈妈臀/臀凹陷/臀扁平,单动作循环演示；错误-正确对比拆解；图解/解剖辅助说明；原因解释/归因讲解,轻行动/跟练指令收束,强卖式结尾；新痛点结尾；未兑现结果承诺；半个动作截断,从结果承诺和动作起势同时出现处开始，若前面有适用人群要一并保留。,留到跟练/收藏/咨询等轻行动完整出现；若出现强转化，交人工决定是否删减。,连续动作帧证据；效果对比或结果提示证据,动作被遮挡、缺发力点/方向/次数，或只剩结果口号时放弃。,如果只有结果字幕，没有动作过程或证据，开头会像硬广告。 风险词需要克制处理：单一方法过度承诺；效果承诺风险。,fv_0073；fv_0088；fv_0090；fv_0092
fgr_013,泛人群/场景点名,盆底紧致/八爪鱼/抓握力,分步口令/计数教学；图解/解剖辅助说明；错误-正确对比拆解；分步口令/计数教学,结果/价值重申收束；轻行动/跟练指令收束；动作完成/视觉定型收束,强卖式结尾；新痛点结尾；未兑现结果承诺；半个动作截断,从结果承诺和动作起势同时出现处开始，若前面有适用人群要一并保留。,留到结果回扣前文价值，不要额外拼接新结果。,字幕口令/次数证据；图示/标注证据,动作被遮挡、缺发力点/方向/次数，或只剩结果口号时放弃。,如果只有结果字幕，没有动作过程或证据，开头会像硬广告。 风险词需要克制处理：单一方法过度承诺。,fv_0043；fv_0070；fv_0084
fgr_014,动作状态点名,假胯宽/骨盆外翻/体态问题,错误-正确对比拆解；分步口令/计数教学；单动作循环演示；分步口令/计数教学；图解/解剖辅助说明,结果/价值重申收束；轻行动/跟练指令收束,强卖式结尾；新痛点结尾；未兑现结果承诺；半个动作截断,从错误动作或误区字幕完整出现处开始，保留观众能识别错误的画面。,留到结果回扣前文价值，不要额外拼接新结果。,对比画面/反例证据；字幕口令/次数证据；连续动作帧证据,看不出错误和正确差异，或错误后没有解释/正确动作时放弃。,如果只保留错误/恐吓画面，后面不接同一问题的原因和正确做法，会突兀。 风险词需要克制处理：效果承诺风险。,fv_0027；fv_0040
fgr_015,年龄点名,假胯宽/骨盆外翻/体态问题,分步口令/计数教学；图解/解剖辅助说明；原因解释/归因讲解；原因解释/归因讲解,轻行动/跟练指令收束；结果/价值重申收束,强卖式结尾；新痛点结尾；未兑现结果承诺；半个动作截断,从结果承诺和动作起势同时出现处开始，若前面有适用人群要一并保留。,留到跟练/收藏/咨询等轻行动完整出现；若出现强转化，交人工决定是否删减。,字幕口令/次数证据；图示/标注证据；口播或字幕解释证据,动作被遮挡、缺发力点/方向/次数，或只剩结果口号时放弃。,如果只有结果字幕，没有动作过程或证据，开头会像硬广告。 风险词需要克制处理：效果承诺风险。,fv_0018；fv_0020
fgr_016,泛人群/场景点名,假胯宽/骨盆外翻/体态问题,分步口令/计数教学；分步口令/计数教学；图解/解剖辅助说明,结果/价值重申收束,强卖式结尾；新痛点结尾；未兑现结果承诺；半个动作截断,从结果承诺和动作起势同时出现处开始，若前面有适用人群要一并保留。,留到结果回扣前文价值，不要额外拼接新结果。,字幕口令/次数证据,动作被遮挡、缺发力点/方向/次数，或只剩结果口号时放弃。,如果只有结果字幕，没有动作过程或证据，开头会像硬广告。,fv_0046；fv_0087
fgr_017,身份点名,效果承诺风险,分步口令/计数教学；图解/解剖辅助说明,轻行动/跟练指令收束,强卖式结尾；新痛点结尾；未兑现结果承诺；半个动作截断,从年龄/身份/身体状态点名完整出现处开始，至少保留一帧人物或动作预告。,留到跟练/收藏/咨询等轻行动完整出现；若出现强转化，交人工决定是否删减。,字幕口令/次数证据；图示/标注证据；效果对比或结果提示证据,动作被遮挡、缺发力点/方向/次数，或只剩结果口号时放弃。,如果只喊人群标签，后文没有该人群专属问题或动作条件，会突兀。 风险词需要克制处理：效果承诺风险。,fv_0048
fgr_018,身份点名,盆底高张疼痛,分步口令/计数教学,轻行动/跟练指令收束,强卖式结尾；新痛点结尾；未兑现结果承诺；半个动作截断,向前保留痛点出现前的主语和第一帧痛点画面，不能只截结果词。,留到跟练/收藏/咨询等轻行动完整出现；若出现强转化，交人工决定是否删减。,字幕口令/次数证据,痛点没有被原因、动作或证据兑现时放弃，不能靠字幕硬接。,如果痛点太大但中段只给无关动作，开头会显得焦虑化且不兑现。 风险词需要克制处理：单一方法过度承诺；医学/健康边界风险；效果承诺风险。,fv_0056
fgr_019,身份点名,膨出脱垂/下垂,分步口令/计数教学,动作完成/视觉定型收束,强卖式结尾；新痛点结尾；未兑现结果承诺；半个动作截断,向前保留痛点出现前的主语和第一帧痛点画面，不能只截结果词。,留到动作定型或最后一次完整循环结束，避免切在半个动作。,字幕口令/次数证据,痛点没有被原因、动作或证据兑现时放弃，不能靠字幕硬接。,如果痛点太大但中段只给无关动作，开头会显得焦虑化且不兑现。 风险词需要克制处理：单一方法过度承诺；医学/健康边界风险。,fv_0057
fgr_020,身体状态点名,膨出脱垂/下垂,分步口令/计数教学,轻行动/跟练指令收束,强卖式结尾；新痛点结尾；未兑现结果承诺；半个动作截断,从结果承诺和动作起势同时出现处开始，若前面有适用人群要一并保留。,留到跟练/收藏/咨询等轻行动完整出现；若出现强转化，交人工决定是否删减。,字幕口令/次数证据,痛点没有被原因、动作或证据兑现时放弃，不能靠字幕硬接。,如果只有结果字幕，没有动作过程或证据，开头会像硬广告。 风险词需要克制处理：单一方法过度承诺；医学/健康边界风险。,fv_0064
